l1d_size,l1d_assoc,l2cache,l2assoc,mem_type,l1d_hwp_type,cacheline_size,algorithm,bp_type,sim_seconds,sim_insts,dcache_overall_miss_rate,dcache_overall_misses,dcache_replacements,dcache_overall_misses,dcache_overall_avg_miss_latency,dram_rank0_total_energy,dram_rank0_avg_power,dram_bwWrite_total,dram_bwRead_total,dram_bwTotal_total,dram_avgMemAcc_lat
16,16,ON,1,HBM2_2000_4H_1x128,None,64,pen,MultiperspectivePerceptron64KB,0.086842,68240084,0.048660,856975,856668,17611309,18559.048397,0,0,119952455,59777982,179730437,27930.23
256,2,ON,2,HBM2_2000_4H_1x128,SignaturePathPrefetcher,128,pen,LocalBP,0.072802,67862641,0.006128,107721,217403,17579818,33805.618217,0,0,140470002,139691127,280161129,32454.02
1,2,OFF,2,HBM2_2000_4H_1x128,BOPPrefetcher,64,snap,LocalBP,2.168187,337947677,0.268825,33426783,43065392,124343920,41261.112055,0,0,328913525,1370688293,1699601818,29119.54
32,16,OFF,4,HBM2_2000_4H_1x128,SignaturePathPrefetcher,64,snap,BiModeBP,0.796779,328227767,0.012474,1488240,2219151,119309985,50850.450196,0,0,110183988,426868364,537052352,29955.12
16,1,ON,8,HBM2_2000_4H_1x128,None,128,snap,BiModeBP,0.599697,322187591,0.049974,5830101,5833723,116662403,17261.707730,0,0,73755064,87625333,161380398,36076.27
8,16,ON,4,HBM2_2000_4H_1x128,AMPMPrefetcher,32,snap,TournamentBP,0.605313,324655222,0.038377,4515096,10225318,117649691,18375.621692,0,0,71023885,63403946,134427831,28988.22
4,8,OFF,8,HBM2_2000_4H_1x128,None,64,snap,TournamentBP,1.271474,325282821,0.088865,10556245,10572488,118789188,50172.088702,0,0,242562053,673314054,915876107,30106.93
128,4,ON,8,HBM2_2000_4H_1x128,SignaturePathPrefetcher,64,quick,MultiperspectivePerceptron64KB,0.026879,42346383,0.002223,12631,23751,5681422,17840.511440,0,0,3857230,8757341,12614571,26749.44
512,8,ON,1,HBM2_2000_4H_1x128,BOPPrefetcher,128,quick,None,0.026927,42208548,0.000921,5222,4904,5670226,38802.470318,0,0,5428595,25735913,31164507,30028.63
2,16,OFF,1,HBM2_2000_4H_1x128,TaggedPrefetcher,64,snap,LocalBP,1.605296,330321007,0.154449,18688394,43397334,121000494,44919.365034,0,0,353802579,1872656880,2226459459,27173.34
128,4,OFF,16,HBM2_2000_4H_1x128,SignaturePathPrefetcher,32,snap,LocalBP,0.848771,325944305,0.011658,1386642,2087015,118947418,48137.979738,0,0,72438776,252392754,324831530,27183.93
1,8,OFF,2,HBM2_2000_4H_1x128,TaggedPrefetcher,128,snap,None,2.439527,342544944,0.269735,34139116,83643193,126565536,47584.858069,0,0,580464267,4554121401,5134585668,29164.77
64,1,ON,8,HBM2_2000_4H_1x128,BOPPrefetcher,128,quick,BiModeBP,0.027030,42202174,0.005209,29533,35096,5670153,16034.199032,0,0,5441033,16271009,21712042,30893.80
16,8,OFF,16,HBM2_2000_4H_1x128,BOPPrefetcher,32,insert,MultiperspectivePerceptron64KB,0.949894,498245036,0.046891,6394559,6394561,136369500,53011.581721,0,0,213856743,217720863,431577606,22039.15
2,4,ON,4,HBM2_2000_4H_1x128,None,32,snap,TournamentBP,0.832124,326615509,0.190526,22578895,22583404,118508512,14646.487217,0,0,51639555,29080793,80720348,31066.95
128,16,ON,4,HBM2_2000_4H_1x128,BOPPrefetcher,64,insert,LocalBP,0.612783,497382539,0.000139,18982,21152,136166646,19392.556106,0,0,200737,427897,628634,26991.04
8,4,OFF,16,HBM2_2000_4H_1x128,BOPPrefetcher,64,snap,None,1.039653,321813759,0.050820,5958323,7605049,117244339,53793.549460,0,0,181744902,632700413,814445315,31474.75
128,8,OFF,4,HBM2_2000_4H_1x128,TaggedPrefetcher,64,snap,MultiperspectivePerceptron64KB,0.772952,334568493,0.007570,921229,1446501,121702179,40857.071912,0,0,85695987,395811863,481507850,28708.54
256,2,OFF,4,HBM2_2000_4H_1x128,SignaturePathPrefetcher,128,pen,BiModeBP,0.090950,67891167,0.006328,111320,218883,17590435,64911.835250,0,0,234161179,584739724,818900903,33247.86
512,1,OFF,16,HBM2_2000_4H_1x128,TaggedPrefetcher,32,snap,TournamentBP,0.832831,326814653,0.010801,1287112,1901555,119169894,42560.706450,0,0,62001838,252351300,314353138,26858.04
32,4,ON,8,HBM2_2000_4H_1x128,BOPPrefetcher,128,insert,LocalBP,0.621292,497243484,0.005124,697783,953629,136169112,13843.879831,0,0,263090,802456,1065547,31638.99
64,1,ON,2,HBM2_2000_4H_1x128,SignaturePathPrefetcher,32,pen,MultiperspectivePerceptron64KB,0.087516,68858851,0.037161,659096,1341643,17736457,26000.374756,0,0,112819162,92460193,205279354,24899.88
512,1,ON,4,HBM2_2000_4H_1x128,None,128,quick,BiModeBP,0.026777,42176834,0.001429,8093,7832,5662010,26527.183986,0,0,5492546,16491979,21984525,29878.46
128,16,OFF,8,HBM2_2000_4H_1x128,SignaturePathPrefetcher,32,quick,TournamentBP,0.030547,42663826,0.004164,23774,40722,5709617,49914.633633,0,0,25487150,94081420,119568570,27312.06
512,8,OFF,16,HBM2_2000_4H_1x128,AMPMPrefetcher,128,insert,TournamentBP,0.614777,497224343,0.000029,3981,5444,136159543,63252.072344,0,0,607127,8875010,9482137,33157.88
128,8,OFF,16,HBM2_2000_4H_1x128,BOPPrefetcher,32,snap,BiModeBP,0.828989,322905904,0.016029,1885834,1875770,117654099,31357.053961,0,0,73168822,207931380,281100202,27200.95
128,4,ON,16,HBM2_2000_4H_1x128,SignaturePathPrefetcher,64,snap,None,0.534071,322266948,0.006520,759400,1271913,116468400,32926.571636,0,0,81044479,88672526,169717006,29942.77
8,1,ON,4,HBM2_2000_4H_1x128,BOPPrefetcher,32,pen,None,0.104846,68904077,0.126248,2240362,2241629,17745734,16142.794334,0,0,93311481,24631731,117943212,26313.05
8,4,OFF,16,HBM2_2000_4H_1x128,AMPMPrefetcher,64,quick,None,0.031013,42443306,0.007737,43862,84452,5669190,52522.798778,0,0,73384852,241245658,314630510,29541.28
128,8,OFF,8,HBM2_2000_4H_1x128,TaggedPrefetcher,64,pen,LocalBP,0.097737,68214749,0.013445,236638,477019,17600110,47651.402142,0,0,230573154,489242985,719816139,27342.96
1,4,OFF,2,HBM2_2000_4H_1x128,TaggedPrefetcher,128,mm,TournamentBP,0.194233,41865375,0.355566,2595444,7342700,7299475,63857.604517,0,0,130767478,4860698005,4991465483,25834.07
32,4,ON,8,HBM2_2000_4H_1x128,AMPMPrefetcher,32,quick,LocalBP,0.027273,42596795,0.005956,33946,71948,5699513,13896.364815,0,0,3206736,6296137,9502873,25301.15
256,4,ON,4,HBM2_2000_4H_1x128,TaggedPrefetcher,128,quick,None,0.026757,42213640,0.001014,5744,12886,5665905,26124.825905,0,0,6328943,22507692,28836635,31336.91
1,1,OFF,16,HBM2_2000_4H_1x128,TaggedPrefetcher,128,pen,LocalBP,0.560088,69023699,0.460596,8234285,21087372,17877461,57253.044800,0,0,517834801,4869943783,5387778584,28286.18
