l1d_size,l1d_assoc,l2cache,l2assoc,mem_type,l1d_hwp_type,cacheline_size,sim_seconds
128,1,OFF,1,DDR3_1600_8x8,TaggedPrefetcher,64,0.110908
256,2,ON,8,DDR4_2400_16x4,SignaturePathPrefetcher,64,0.035259
256,8,ON,16,DDR4_2400_8x8,SignaturePathPrefetcher,64,0.032819
256,2,ON,1,DDR4_2400_4x16,BOPPrefetcher,32,0.032298
32,2,ON,8,DDR4_2400_4x16,TaggedPrefetcher,64,0.060255
256,2,ON,16,DDR4_2400_4x16,None,128,0.037660
256,16,OFF,4,DDR4_2400_8x8,BOPPrefetcher,128,0.031821
512,4,OFF,16,DDR4_2400_8x8,BOPPrefetcher,32,0.032680
64,1,OFF,4,DDR3_2133_8x8,SignaturePathPrefetcher,64,0.101094
512,1,OFF,2,DDR3_1600_8x8,SignaturePathPrefetcher,32,0.037993
128,4,ON,1,DDR3_2133_8x8,AMPMPrefetcher,32,0.044893
128,4,OFF,2,DDR3_1600_8x8,AMPMPrefetcher,32,0.089684
128,8,OFF,4,DDR3_2133_8x8,SignaturePathPrefetcher,32,0.062538
64,1,ON,8,DDR3_1600_8x8,TaggedPrefetcher,128,0.057432
512,4,ON,1,DDR4_2400_4x16,BOPPrefetcher,128,0.032753
32,16,OFF,2,DDR4_2400_16x4,None,64,0.149801
32,2,OFF,2,DDR4_2400_4x16,BOPPrefetcher,128,0.157376
32,16,OFF,1,DDR3_2133_8x8,AMPMPrefetcher,128,0.163510
64,16,ON,2,DDR4_2400_8x8,AMPMPrefetcher,64,0.059811
512,4,OFF,1,DDR3_1600_8x8,None,32,0.032748
256,2,ON,16,DDR3_2133_8x8,TaggedPrefetcher,128,0.041279
32,16,OFF,16,DDR4_2400_4x16,BOPPrefetcher,64,0.151647
256,2,OFF,1,DDR3_2133_8x8,BOPPrefetcher,32,0.046358
512,8,ON,1,DDR3_2133_8x8,TaggedPrefetcher,64,0.032673
128,2,ON,8,DDR4_2400_4x16,AMPMPrefetcher,64,0.042090
