l1d_size,l1d_assoc,l2cache,l2assoc,mem_type,l1d_hwp_type,cacheline_size,algorithm,sim_seconds,sim_insts,dcache_overall_miss_rate,dcache_overall_misses,dcache_replacements,dcache_overall_misses,dcache_overall_avg_miss_latency,dram_rank0_total_energy,dram_rank0_avg_power,dram_rank1_total_energy,dram_rank0_avg_power
64,8,OFF,8,DDR3_1600_8x8,AMPMPrefetcher,32,mm,0.153532,48053251,0.294080,2144492,6169220,7292216,57873.138720,105500021550,687.152502,109591252800,713.799887
4,1,ON,2,LPDDR5_6400_1x16_8B_BL32,BOPPrefetcher,64,mm,0.060869,47795020,0.349113,2527719,2633546,7240399,14103.261676,0,0,,
2,2,OFF,1,DDR4_2400_16x4,AMPMPrefetcher,64,quick,0.017025,35539424,0.055659,112802,240243,2026668,49796.102897,17690030892.105560,1039.039622,17422794953.255852,1023.343283
128,1,OFF,2,DDR4_2400_4x16,BOPPrefetcher,32,mm,0.076516,47985249,0.105702,766309,766116,7249702,60273.417120,28811545858.631119,376.545073,,
8,4,ON,2,LPDDR5_5500_1x16_BG_BL16,None,64,mm,0.054300,47762415,0.301687,2180683,2180840,7228306,13216.561738,0,0,,
32,16,OFF,2,LPDDR5_6400_1x16_8B_BL32,BOPPrefetcher,64,snap,0.848649,325548143,0.014654,1578216,1831257,107695660,69353.279272,0,0,,
256,2,OFF,2,DDR4_2400_8x8,AMPMPrefetcher,32,insert,0.064584,75244736,0.001348,18264,30422,13548266,50745.044897,28262513806.663055,437.605239,28275478828.579048,437.805984
1,2,OFF,8,LPDDR5_5500_1x16_8B_BL32,TaggedPrefetcher,128,quick,0.036490,36285462,0.161763,330831,698173,2045155,70225.392980,0,0,,
4,4,OFF,4,LPDDR5_5500_1x16_8B_BL32,AMPMPrefetcher,32,insert,0.107533,75363166,0.025875,348003,866462,13449595,120985.350698,0,0,,
32,8,OFF,2,LPDDR5_5500_1x16_8B_BL32,None,128,insert,0.065515,75270214,0.001322,17900,17850,13535812,97126.201117,0,0,,
256,8,OFF,16,LPDDR5_6400_1x16_BG_BL16,BOPPrefetcher,64,snap,0.760463,324551623,0.007020,753212,784657,107294553,39892.882084,0,0,,
1,1,OFF,2,LPDDR5_5500_1x16_8B_BL32,BOPPrefetcher,32,snap,4.092194,385421372,0.306330,40993515,40996774,133821529,71615.178511,0,0,,
8,16,ON,4,LPDDR5_6400_1x16_BG_BL32,AMPMPrefetcher,32,insert,0.064360,75093862,0.016912,229144,581546,13549416,14427.999424,0,0,,
64,16,OFF,2,DDR4_2400_4x16,BOPPrefetcher,128,pen,0.106952,74356771,0.015872,278740,321162,17561603,73396.697639,41567840693.206833,388.659211,,
16,2,ON,16,LPDDR5_6400_1x16_8B_BL32,TaggedPrefetcher,64,insert,0.061381,75043602,0.002893,39155,78622,13533895,14409.960414,0,0,,
2,4,OFF,4,LPDDR5_6400_1x16_BG_BL32,TaggedPrefetcher,128,quick,0.023279,35958804,0.053566,108992,265676,2034707,96680.710511,0,0,,
16,16,OFF,2,DDR3_1600_8x8,TaggedPrefetcher,32,pen,0.139818,75099311,0.045338,803016,1788503,17711840,56727.624979,89280447450,638.548904,86536066155,618.920624
64,8,OFF,1,LPDDR5_6400_1x16_8B_BL32,TaggedPrefetcher,128,mm,0.321688,48286603,0.290286,2141267,6199451,7376411,135870.978724,0,0,,
2,8,ON,1,LPDDR5_6400_1x16_BG_BL16,AMPMPrefetcher,64,pen,0.114977,74603203,0.152961,2691300,9647596,17594679,16539.233084,0,0,,
2,8,OFF,8,LPDDR5_5500_1x16_BG_BL32,BOPPrefetcher,64,pen,0.244322,75220552,0.097206,1716033,2088648,17653587,83950.697335,0,0,,
128,8,OFF,16,LPDDR5_6400_1x16_BG_BL16,TaggedPrefetcher,128,quick,0.012951,35054246,0.004332,8585,16810,1981857,108308.444962,0,0,,
8,2,ON,8,DDR4_2400_16x4,AMPMPrefetcher,64,pen,0.089787,74484407,0.070583,1241171,3650830,17584562,16499.898886,79118686837.210953,881.178991,79059591592.767487,880.520822
128,1,OFF,4,LPDDR5_5500_1x16_8B_BL32,BOPPrefetcher,128,pen,0.126492,74485827,0.018627,327275,362500,17570212,99776.742800,0,0,,
2,4,ON,4,DDR4_2400_4x16,SignaturePathPrefetcher,128,quick,0.010142,34948037,0.039421,77553,117389,1967314,14586.682656,2466126951.481247,243.169093,,
128,8,ON,2,DDR3_1600_8x8,SignaturePathPrefetcher,128,snap,0.456519,314342842,0.003568,367710,655560,103069368,48466.488537,222790055985,488.018979,222943784280,488.355719
16,2,OFF,1,DDR4_2400_4x16,TaggedPrefetcher,128,quick,0.013149,35102587,0.013012,25793,59315,1982206,72637.866863,4808759156.627928,365.724349,,
128,16,OFF,1,DDR4_2400_4x16,None,64,pen,0.110746,74587571,0.024883,437349,435934,17576500,51266.745780,40567898767.032455,366.314419,,
64,8,ON,2,LPDDR5_5500_1x16_8B_BL32,TaggedPrefetcher,128,pen,0.075723,74237992,0.009868,173157,383113,17548013,35859.644715,0,0,,
4,2,ON,8,LPDDR5_5500_1x16_8B_BL32,TaggedPrefetcher,128,insert,0.063814,75097176,0.016910,228970,338510,13540614,13797.910207,0,0,,
256,2,OFF,8,DDR4_2400_16x4,None,64,pen,0.104632,74554973,0.021831,383537,381580,17568630,47514.288061,106680845869.886719,1019.579380,107375941000.573700,1026.222603
8,16,ON,2,LPDDR5_5500_1x16_BG_BL32,AMPMPrefetcher,32,quick,0.010506,34924204,0.022501,44364,108001,1971620,20868.959066,0,0,,
256,2,OFF,1,LPDDR5_6400_1x16_BG_BL16,TaggedPrefetcher,32,insert,0.066685,75333846,0.001461,19792,31217,13543265,90957.255406,0,0,,
