l1d_size,l1d_assoc,l2cache,l2assoc,mem_type,l1d_hwp_type,cacheline_size,sim_seconds,sim_insts,dcache_overall_miss_rate,dcache_overall_misses,dcache_replacements
32,16,OFF,8,DDR4_2400_8x8,BOPPrefetcher,64,0.149523,158776811,0.309583,2151519,2215706
128,4,ON,2,DDR3_2133_8x8,SignaturePathPrefetcher,128,0.039572,158215013,0.075525,524370,1932617
128,8,OFF,4,DDR4_2400_4x16,SignaturePathPrefetcher,128,0.079125,158748292,0.098581,685000,1653505
512,16,ON,8,DDR3_1600_8x8,None,128,0.032861,158244328,0.001303,9041,8346
512,4,OFF,4,DDR4_2400_16x4,SignaturePathPrefetcher,64,0.031776,158736748,0.001590,11039,18368
256,8,OFF,1,DDR4_2400_16x4,TaggedPrefetcher,128,0.031819,158753010,0.001423,9878,18055
64,2,OFF,1,DDR4_2400_16x4,SignaturePathPrefetcher,128,0.121935,158762269,0.232500,1616936,4264533
32,2,ON,4,DDR3_2133_8x8,TaggedPrefetcher,128,0.062878,158212326,0.312497,2171549,6259995
64,1,OFF,8,DDR4_2400_4x16,None,32,0.146373,158750825,0.293919,2043244,2042515
512,4,ON,8,DDR4_2400_4x16,AMPMPrefetcher,128,0.032851,158214348,0.001089,7561,10709
128,1,OFF,8,DDR3_2133_8x8,BOPPrefetcher,32,0.098242,158818798,0.176007,1222976,1222247
128,1,OFF,8,DDR3_2133_8x8,AMPMPrefetcher,128,0.121182,158746846,0.206234,1433957,3729939
256,16,ON,2,DDR3_1600_8x8,AMPMPrefetcher,32,0.032402,158264716,0.003665,25444,55939
128,1,OFF,8,DDR4_2400_16x4,BOPPrefetcher,32,0.117942,158768205,0.223719,1555567,1554840
512,1,OFF,8,DDR3_2133_8x8,SignaturePathPrefetcher,64,0.050180,158765421,0.047174,327675,992541
32,8,OFF,8,DDR4_2400_16x4,None,64,0.150705,158763823,0.310236,2156090,2155428
128,1,OFF,8,DDR4_2400_16x4,None,64,0.107885,158820212,0.198902,1382864,1382187
256,4,OFF,8,DDR3_2133_8x8,TaggedPrefetcher,32,0.033798,158749526,0.008337,57851,99738
256,4,OFF,8,DDR3_2133_8x8,None,32,0.034185,158797561,0.008482,58861,58116
32,8,ON,8,DDR4_2400_16x4,SignaturePathPrefetcher,128,0.045612,158236014,0.145008,1007253,3558558
64,8,OFF,16,DDR3_2133_8x8,BOPPrefetcher,32,0.147475,158766306,0.314231,2183774,2183058
256,4,OFF,2,DDR4_2400_4x16,SignaturePathPrefetcher,64,0.031687,158712912,0.002423,16813,29085
256,8,OFF,8,DDR4_2400_4x16,BOPPrefetcher,64,0.032291,158773766,0.004033,27971,27436
64,16,OFF,4,DDR4_2400_8x8,BOPPrefetcher,128,0.156380,158724678,0.297087,2066901,2140757
64,1,OFF,16,DDR4_2400_8x8,TaggedPrefetcher,128,0.163352,158775349,0.291029,2024003,5762050
128,2,ON,2,DDR3_2133_8x8,AMPMPrefetcher,128,0.049919,158221322,0.185755,1290197,2690219
32,8,ON,16,DDR4_2400_4x16,TaggedPrefetcher,32,0.059055,158187363,0.310962,2158331,6386389
128,1,ON,2,DDR4_2400_8x8,None,32,0.043407,158177376,0.139848,971116,970433
512,2,OFF,4,DDR4_2400_16x4,BOPPrefetcher,32,0.045039,158807545,0.034072,236414,235652
128,4,OFF,16,DDR4_2400_8x8,TaggedPrefetcher,32,0.077851,158738881,0.115887,804116,2266123
128,1,OFF,1,DDR4_2400_16x4,TaggedPrefetcher,32,0.108570,158803888,0.200795,1395204,4077777
128,1,OFF,1,DDR3_1600_8x8,TaggedPrefetcher,32,0.124928,158752539,0.239258,1662452,4869897
256,1,ON,8,DDR3_2133_8x8,SignaturePathPrefetcher,128,0.035266,158213011,0.027001,187421,556804
64,1,ON,2,DDR4_2400_8x8,AMPMPrefetcher,32,0.056948,158224869,0.291204,2022292,9601340
64,1,OFF,4,DDR4_2400_8x8,BOPPrefetcher,64,0.134194,158777348,0.270271,1878068,1927217
256,2,OFF,2,DDR3_1600_8x8,None,64,0.057477,158772043,0.063977,444193,443501
128,16,ON,2,DDR4_2400_4x16,None,128,0.047516,158223393,0.179127,1244428,1243700
256,8,OFF,16,DDR4_2400_8x8,SignaturePathPrefetcher,64,0.031676,158739707,0.002399,16655,29356
32,16,ON,4,DDR3_1600_8x8,TaggedPrefetcher,32,0.059033,158170365,0.311075,2160067,6387225
32,4,OFF,2,DDR3_2133_8x8,TaggedPrefetcher,32,0.146272,158800595,0.312591,2172698,6390434
