l1d_size,l1d_assoc,l2cache,l2assoc,mem_type,l1d_hwp_type,cacheline_size,sim_seconds
64,1,ON,2,DDR4_2400_8x8,AMPMPrefetcher,32,0.056948
64,1,OFF,4,DDR4_2400_8x8,BOPPrefetcher,64,0.134194
256,2,OFF,2,DDR3_1600_8x8,None,64,0.057477
128,16,ON,2,DDR4_2400_4x16,None,128,0.047516
256,8,OFF,16,DDR4_2400_8x8,SignaturePathPrefetcher,64,0.031676
32,16,ON,4,DDR3_1600_8x8,TaggedPrefetcher,32,0.059033
32,4,OFF,2,DDR3_2133_8x8,TaggedPrefetcher,32,0.146272
64,2,OFF,16,DDR4_2400_4x16,None,32,0.147347
128,2,OFF,4,DDR4_2400_4x16,None,32,0.099504
512,16,ON,16,DDR3_2133_8x8,BOPPrefetcher,128,0.032849
512,2,ON,16,DDR3_2133_8x8,BOPPrefetcher,128,0.032832
256,16,ON,4,DDR3_2133_8x8,AMPMPrefetcher,32,0.032534
32,8,ON,2,DDR3_2133_8x8,AMPMPrefetcher,32,0.059128
256,4,OFF,4,DDR4_2400_8x8,TaggedPrefetcher,128,0.032538
32,16,OFF,8,DDR4_2400_8x8,SignaturePathPrefetcher,32,0.111100
128,8,OFF,8,DDR4_2400_8x8,AMPMPrefetcher,64,0.101331
512,1,OFF,2,DDR4_2400_16x4,TaggedPrefetcher,32,0.033018
128,8,ON,8,DDR3_2133_8x8,BOPPrefetcher,32,0.047940
64,8,OFF,16,DDR4_2400_8x8,None,128,0.159896
64,8,OFF,4,DDR4_2400_16x4,TaggedPrefetcher,32,0.150272
32,2,OFF,2,DDR3_1600_8x8,TaggedPrefetcher,64,0.151788
64,4,ON,1,DDR4_2400_16x4,SignaturePathPrefetcher,64,0.044193
64,16,OFF,16,DDR4_2400_8x8,BOPPrefetcher,128,0.156380
256,4,ON,8,DDR4_2400_8x8,TaggedPrefetcher,32,0.032765
512,4,OFF,8,DDR4_2400_16x4,TaggedPrefetcher,128,0.031886
256,2,OFF,8,DDR4_2400_8x8,SignaturePathPrefetcher,32,0.033917
512,8,OFF,8,DDR4_2400_4x16,None,32,0.032619
64,2,ON,1,DDR4_2400_4x16,SignaturePathPrefetcher,64,0.044657
256,1,OFF,2,DDR3_2133_8x8,SignaturePathPrefetcher,32,0.059501
32,1,ON,4,DDR4_2400_16x4,SignaturePathPrefetcher,32,0.046600
512,8,OFF,4,DDR4_2400_4x16,AMPMPrefetcher,128,0.031888
256,16,ON,4,DDR3_2133_8x8,AMPMPrefetcher,128,0.032820
32,1,ON,16,DDR3_2133_8x8,BOPPrefetcher,32,0.060153
32,8,OFF,1,DDR4_2400_8x8,AMPMPrefetcher,128,0.168803
32,2,OFF,4,DDR4_2400_8x8,SignaturePathPrefetcher,32,0.104982
256,4,OFF,1,DDR4_2400_8x8,SignaturePathPrefetcher,32,0.033644
32,16,OFF,1,DDR3_1600_8x8,TaggedPrefetcher,32,0.152107
128,1,OFF,4,DDR4_2400_16x4,None,32,0.117942
64,8,ON,1,DDR4_2400_8x8,None,64,0.058056
128,2,OFF,8,DDR4_2400_16x4,None,32,0.099621
512,8,ON,16,DDR4_2400_16x4,BOPPrefetcher,128,0.032812
32,2,OFF,8,DDR4_2400_16x4,AMPMPrefetcher,128,0.169701
256,2,OFF,16,DDR3_2133_8x8,None,32,0.046358
32,8,ON,2,DDR3_1600_8x8,None,64,0.058069
64,2,OFF,8,DDR3_2133_8x8,None,128,0.146910
128,1,ON,8,DDR3_2133_8x8,None,128,0.049561
128,4,OFF,8,DDR3_1600_8x8,SignaturePathPrefetcher,128,0.073579
64,2,ON,1,DDR3_2133_8x8,None,128,0.053765
512,4,OFF,2,DDR4_2400_16x4,BOPPrefetcher,32,0.032704
64,1,ON,8,DDR3_2133_8x8,BOPPrefetcher,128,0.056860
256,16,ON,8,DDR3_2133_8x8,BOPPrefetcher,32,0.032703
64,2,ON,16,DDR3_2133_8x8,AMPMPrefetcher,64,0.058467
128,4,ON,2,DDR4_2400_4x16,AMPMPrefetcher,128,0.045074
128,1,ON,16,DDR4_2400_4x16,TaggedPrefetcher,32,0.049291
64,1,ON,2,DDR3_2133_8x8,AMPMPrefetcher,64,0.059817
128,2,ON,4,DDR3_2133_8x8,BOPPrefetcher,32,0.047967
256,2,OFF,8,DDR4_2400_4x16,SignaturePathPrefetcher,32,0.047426
256,2,OFF,2,DDR4_2400_4x16,SignaturePathPrefetcher,64,0.040227
32,4,OFF,16,DDR4_2400_16x4,BOPPrefetcher,32,0.152202
128,4,OFF,2,DDR3_1600_8x8,SignaturePathPrefetcher,32,0.072207
256,8,ON,16,DDR3_1600_8x8,AMPMPrefetcher,64,0.032852
256,1,ON,4,DDR3_2133_8x8,AMPMPrefetcher,128,0.038796
512,2,OFF,1,DDR4_2400_16x4,None,128,0.031999
256,2,ON,16,DDR3_1600_8x8,BOPPrefetcher,32,0.035423
512,16,ON,2,DDR3_2133_8x8,AMPMPrefetcher,128,0.032812
32,8,ON,16,DDR3_1600_8x8,None,128,0.058171
512,4,OFF,16,DDR3_2133_8x8,AMPMPrefetcher,32,0.031790
256,8,OFF,8,DDR3_1600_8x8,TaggedPrefetcher,64,0.031636
512,16,OFF,2,DDR4_2400_8x8,BOPPrefetcher,128,0.031790
512,16,OFF,16,DDR3_2133_8x8,AMPMPrefetcher,128,0.031944
128,8,ON,16,DDR3_2133_8x8,None,128,0.041663
512,16,OFF,1,DDR3_2133_8x8,AMPMPrefetcher,128,0.031944
128,8,OFF,16,DDR3_2133_8x8,AMPMPrefetcher,64,0.102291
256,1,ON,1,DDR4_2400_4x16,BOPPrefetcher,64,0.040879
32,2,OFF,16,DDR4_2400_16x4,None,32,0.152373
512,16,OFF,4,DDR4_2400_8x8,None,64,0.031570
64,16,OFF,16,DDR3_1600_8x8,TaggedPrefetcher,32,0.151175
64,4,ON,16,DDR4_2400_4x16,AMPMPrefetcher,128,0.063495
256,1,ON,1,DDR4_2400_4x16,BOPPrefetcher,128,0.040312
32,2,OFF,4,DDR4_2400_4x16,TaggedPrefetcher,64,0.152524
64,4,ON,8,DDR4_2400_4x16,None,64,0.058176
64,16,OFF,4,DDR4_2400_4x16,BOPPrefetcher,128,0.158843
128,8,ON,8,DDR3_1600_8x8,None,64,0.042117
256,16,ON,2,DDR4_2400_4x16,None,64,0.032645
64,2,ON,16,DDR3_2133_8x8,TaggedPrefetcher,128,0.060677
64,2,OFF,16,DDR3_1600_8x8,TaggedPrefetcher,64,0.151163
512,1,ON,1,DDR4_2400_4x16,SignaturePathPrefetcher,128,0.034411
256,1,ON,16,DDR4_2400_8x8,SignaturePathPrefetcher,64,0.033817
512,16,OFF,2,DDR4_2400_8x8,TaggedPrefetcher,128,0.031936
256,2,ON,16,DDR3_2133_8x8,AMPMPrefetcher,64,0.033153
512,16,OFF,4,DDR4_2400_16x4,TaggedPrefetcher,128,0.031930
256,8,ON,8,DDR4_2400_16x4,BOPPrefetcher,32,0.032701
512,16,OFF,8,DDR3_1600_8x8,None,64,0.031549
32,8,OFF,8,DDR4_2400_4x16,BOPPrefetcher,32,0.153579
128,8,OFF,2,DDR4_2400_16x4,AMPMPrefetcher,64,0.105861
32,1,ON,4,DDR4_2400_8x8,AMPMPrefetcher,128,0.066479
128,2,OFF,1,DDR4_2400_4x16,TaggedPrefetcher,32,0.076543
512,2,ON,8,DDR4_2400_16x4,AMPMPrefetcher,128,0.032900
64,8,OFF,16,DDR4_2400_4x16,None,128,0.162302
512,8,OFF,2,DDR4_2400_4x16,BOPPrefetcher,128,0.031702
64,2,ON,1,DDR4_2400_16x4,BOPPrefetcher,32,0.065643
64,8,ON,4,DDR4_2400_16x4,AMPMPrefetcher,128,0.063215
256,8,ON,8,DDR4_2400_16x4,AMPMPrefetcher,32,0.032609
512,2,OFF,4,DDR4_2400_8x8,SignaturePathPrefetcher,32,0.031976
128,16,ON,1,DDR4_2400_4x16,AMPMPrefetcher,128,0.038421
32,2,OFF,8,DDR4_2400_16x4,None,128,0.160830
256,4,OFF,4,DDR4_2400_16x4,AMPMPrefetcher,128,0.034498
512,16,OFF,2,DDR4_2400_16x4,SignaturePathPrefetcher,128,0.031909
32,8,OFF,2,DDR3_2133_8x8,BOPPrefetcher,64,0.147512
32,4,ON,2,DDR4_2400_16x4,AMPMPrefetcher,128,0.063493
